model,value,function_name,attn_fn,ffn_fn,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-1
meta-llama/Llama-2-13b-hf,10.204483577805883,vlp,VLPSoftmax,torch,1,8,16,32,16,1,0
meta-llama/Llama-2-13b-hf,6.794474153154104,vlp,VLPSoftmax,torch,1,8,16,32,16,1,1
meta-llama/Llama-2-13b-hf,5.936060578230384,vlp,VLPSoftmax,torch,1,8,16,32,16,1,2
meta-llama/Llama-2-13b-hf,5.812475032664088,vlp,VLPSoftmax,torch,1,8,16,32,16,1,3
meta-llama/Llama-2-13b-hf,5.8122507795753355,vlp,VLPSoftmax,torch,1,8,16,32,16,1,4
meta-llama/Llama-2-13b-hf,5.812311094594892,vlp,VLPSoftmax,torch,1,8,16,32,16,1,5
meta-llama/Llama-2-13b-hf,5.812311094594892,vlp,VLPSoftmax,torch,1,8,16,32,16,1,6
meta-llama/Llama-2-13b-hf,5.812311094594892,vlp,VLPSoftmax,torch,1,8,16,32,16,1,7
meta-llama/Llama-2-13b-hf,25.620443521017283,vlp,VLPSoftmax,torch,1,8,16,32,16,1,7
meta-llama/Llama-2-13b-hf,5.812040530676013,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-6
meta-llama/Llama-2-13b-hf,5.812367287554247,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-5
meta-llama/Llama-2-13b-hf,5.812204876835141,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-4
meta-llama/Llama-2-13b-hf,5.812406366578687,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-3
meta-llama/Llama-2-13b-hf,5.812010946089507,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-2
meta-llama/Llama-2-13b-hf,5.8101052400807385,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-1
meta-llama/Llama-2-13b-hf,5.81238353580466,vlp,VLPSoftmax,torch,1,8,16,32,16,1,0
meta-llama/Llama-2-13b-hf,1250.3589646240084,vlp,VLPSoftmax,torch,1,8,16,32,16,1,1
