model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,-1
meta-llama/Llama-2-13b-hf,5.471568989143001,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,0
meta-llama/Llama-2-13b-hf,5.44372736722685,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,1
meta-llama/Llama-2-13b-hf,5.43798961740437,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2
meta-llama/Llama-2-13b-hf,5.438952367052747,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,3
meta-llama/Llama-2-13b-hf,5.438965366959917,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,4
meta-llama/Llama-2-13b-hf,5.438938297362793,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,5
meta-llama/Llama-2-13b-hf,5.438938297362793,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,6
meta-llama/Llama-2-13b-hf,5.438938297362793,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,7
meta-llama/Llama-2-13b-hf,5.587651926418727,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,7
meta-llama/Llama-2-13b-hf,5.438877447993763,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,-6
meta-llama/Llama-2-13b-hf,5.438891323016395,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,-5
meta-llama/Llama-2-13b-hf,5.438935347271128,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,-4
meta-llama/Llama-2-13b-hf,5.438895504981092,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,-3
meta-llama/Llama-2-13b-hf,5.43880891627499,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,-2
meta-llama/Llama-2-13b-hf,5.43927050088667,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,-1
meta-llama/Llama-2-13b-hf,5.440467049089865,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,0
meta-llama/Llama-2-13b-hf,6.373569837236918,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,1
