model,value,function_name,attn_fn,ffn_fn,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_lut_build,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp
meta-llama/Llama-2-7b-hf,8.167315685452065,vlp,VLPSoftmax,torch,2,8,8,32,max,16,6,1,0
meta-llama/Llama-2-7b-hf,6.210176412787253,vlp,VLPSoftmax,torch,2,8,8,32,max,16,6,1,1
meta-llama/Llama-2-7b-hf,6.402769251013683,vlp,VLPSoftmax,torch,2,8,8,32,max,16,6,1,2
meta-llama/Llama-2-7b-hf,7.180617938469924,vlp,VLPSoftmax,torch,2,8,8,32,max,16,6,1,3
meta-llama/Llama-2-7b-hf,7.193996598329754,vlp,VLPSoftmax,torch,2,8,8,32,max,16,6,1,4
meta-llama/Llama-2-7b-hf,7.2465172605264305,vlp,VLPSoftmax,torch,2,8,8,32,max,16,6,1,5
meta-llama/Llama-2-7b-hf,7.467710645717515,vlp,VLPSoftmax,torch,2,8,8,32,max,16,6,1,6
meta-llama/Llama-2-7b-hf,8.4167399243298,vlp,VLPSoftmax,torch,2,8,8,32,max,16,6,1,7
meta-llama/Llama-2-7b-hf,12.201210901958092,vlp,VLPSoftmax,torch,2,8,8,32,max,16,6,1,8
