,x,y
277,0.42,1.406
278,0.4395,0.0
279,0.459,0.0
280,0.4785,0.0
281,0.498,1.133
282,0.5195,1.078
283,0.539,1.539
284,0.5586,1.969
285,0.578,2.344
286,0.5977,2.703
287,0.617,2.156
288,0.6367,2.078
289,0.6562,2.406
290,0.676,2.312
291,0.6953,2.219
292,0.715,2.156
293,0.7344,1.383
294,0.754,2.016
295,0.7734,1.289
296,0.793,1.25
297,0.8125,1.211
298,0.832,1.18
299,0.8516,0.5703
300,0.871,0.5547
301,0.8906,0.539
302,0.91,0.0
303,0.9297,0.508
304,0.949,0.996
305,0.9688,0.965
306,0.9883,0.4727
307,1.008,0.457
308,1.031,0.4453
309,1.047,1.32
310,1.07,0.8477
311,1.086,0.836
312,1.109,0.4062
313,1.125,1.203
314,1.148,0.7734
315,1.164,0.7617
316,1.1875,0.0
317,1.203,1.469
318,1.227,0.0
319,1.242,0.0
320,1.266,0.6914
321,1.281,0.0
322,1.305,0.664
323,1.32,0.6523
324,1.344,-0.6367
325,1.359,0.629
326,1.383,0.0
327,1.398,-0.6055
328,1.422,-0.5938
329,1.4375,0.0
330,1.461,-0.574
331,1.477,-0.5664
332,1.5,-0.5586
333,1.516,0.0
334,1.539,-0.539
335,1.555,-0.535
336,1.578,0.0
337,1.594,-0.5195
338,1.617,-0.508
339,1.633,-0.504
340,1.656,-0.4941
341,1.672,-0.4922
342,1.695,-0.4824
343,1.711,0.0
344,1.734,-0.4707
345,1.75,-0.4648
346,1.773,0.0
347,1.789,-0.4512
348,1.8125,0.0
349,1.828,0.0
350,1.852,0.4355
351,1.867,0.0
352,1.891,0.4238
353,1.906,0.4219
354,1.93,0.0
355,1.945,-0.412
356,1.969,0.0
357,1.984,0.0
358,2.0,0.0
359,2.031,-0.3945
360,2.047,0.0
361,2.062,0.0
362,2.078,0.0
363,2.11,-0.75
364,2.125,0.0
365,2.14,0.0
366,2.156,0.0
367,2.188,0.0
368,2.203,0.0
369,2.219,0.0
370,2.234,0.0
371,2.266,0.0
372,2.281,0.0
373,2.297,0.0
374,2.312,0.0
375,2.344,-0.672
376,2.36,-0.664
377,2.375,-0.664
378,2.39,-0.66
379,2.422,-0.6484
380,2.438,-0.6445
381,2.453,-0.6406
382,2.469,-0.6367
383,2.5,-0.629
384,2.516,-0.625
385,2.531,-0.621
386,2.547,-0.617
387,2.578,-0.6094
388,2.594,-0.6055
389,2.61,-0.6016
390,2.625,-0.5977
391,2.656,-0.5938
392,2.672,-0.59
393,2.688,-0.586
394,2.703,-0.582
395,2.734,0.0
396,2.75,0.5703
397,2.766,0.5664
398,2.781,0.0
399,2.812,0.0
400,2.828,0.0
401,2.844,0.0
402,2.86,0.0
403,2.89,0.0
404,2.906,0.0
405,2.922,0.0
406,2.938,0.0
407,2.969,0.0
408,2.984,0.0
409,3.0,0.0
410,3.031,0.0
411,3.047,0.0
412,3.062,0.0
413,3.078,0.0
414,3.11,0.0
415,3.125,0.0
416,3.14,0.0
417,3.156,0.0
418,3.188,0.0
419,3.203,0.0
420,3.219,0.0
421,3.234,0.0
422,3.266,0.0
423,3.281,0.0
424,3.297,0.0
425,3.312,0.0
426,3.344,0.0
427,3.36,0.0
428,3.375,0.0
429,3.39,0.0
430,3.422,0.0
431,3.438,0.0
432,3.453,0.0
433,3.469,0.0
434,3.5,0.0
435,3.516,0.0
436,3.531,0.0
437,3.547,0.0
438,3.578,0.0
439,3.594,0.0
440,3.61,0.0
441,3.625,0.0
442,3.656,0.0
443,3.672,0.0
444,3.688,0.0
445,3.703,0.0
446,3.734,0.0
447,3.75,0.0
448,3.766,0.0
449,3.781,0.0
450,3.812,0.0
451,3.828,0.0
452,3.844,0.0
453,3.86,0.0
454,3.89,0.0
455,3.906,0.0
456,3.922,0.0
457,3.938,0.0
458,3.969,0.0
459,3.984,0.0
460,4.0,0.0
461,4.03,0.0
462,4.03,0.0
463,4.062,0.0
464,4.094,0.0
465,4.094,0.0
466,4.125,0.0
467,4.125,0.0
468,4.156,0.0
469,4.188,0.0
470,4.188,0.0
471,4.22,0.0
472,4.25,0.0
473,4.25,0.0
474,4.28,0.0
475,4.28,0.0
476,4.312,0.0
477,4.344,0.0
478,4.344,0.0
479,4.375,0.0
480,4.406,0.0
481,4.406,0.0
482,4.438,0.0
483,4.438,0.0
484,4.47,0.0
485,4.5,0.0
486,4.5,0.0
487,4.53,0.0
488,4.562,0.0
489,4.562,0.0
490,4.594,0.0
491,4.594,0.0
492,4.625,0.0
493,4.656,0.0
494,4.656,0.0
495,4.688,0.0
496,4.72,0.0
497,4.72,0.0
498,4.75,0.0
499,4.75,0.0
500,4.78,0.0
501,4.812,0.0
502,4.812,0.0
503,4.844,0.0
504,4.875,0.0
505,4.875,0.0
506,4.906,0.0
507,4.906,0.0
508,4.938,0.0
509,4.97,0.0
510,4.97,0.0
511,5.0,0.0
