,x,y
265,0.1855,12.0
266,0.2051,11.69
267,0.2246,10.125
268,0.2441,9.25
269,0.2637,8.5
270,0.2832,7.875
271,0.3027,6.75
272,0.3223,5.75
273,0.3418,4.875
274,0.3613,4.125
275,0.3809,3.016
276,0.4004,2.031
277,0.42,1.539
278,0.4395,0.7305
279,0.459,0.6953
280,0.4785,1.328
281,0.498,1.258
282,0.5195,1.797
283,0.539,2.297
284,0.5586,2.203
285,0.578,2.094
286,0.5977,3.047
287,0.617,2.438
288,0.6367,2.344
289,0.6562,2.266
290,0.676,3.047
291,0.6953,2.531
292,0.715,2.438
293,0.7344,2.375
294,0.754,2.297
295,0.7734,2.219
296,0.793,1.43
297,0.8125,1.391
298,0.832,1.352
299,0.8516,0.6523
300,0.871,0.6367
301,0.8906,0.0
302,0.91,0.0
303,0.9297,0.0
304,0.949,0.5703
305,0.9688,0.0
306,0.9883,0.543
307,1.008,0.5273
308,1.031,0.5117
309,1.047,0.504
310,1.07,0.4922
311,1.086,0.4824
312,1.109,0.4668
313,1.125,0.922
314,1.148,0.8984
315,1.164,0.879
316,1.1875,0.0
317,1.203,0.0
318,1.227,0.0
319,1.242,0.0
320,1.266,0.0
321,1.281,0.0
322,1.305,0.7617
323,1.32,0.75
324,1.344,0.0
325,1.359,0.0
326,1.383,-0.703
327,1.398,0.0
328,1.422,0.0
329,1.4375,0.0
330,1.461,0.0
331,1.477,0.0
332,1.5,0.6367
333,1.516,0.629
334,1.539,0.617
335,1.555,0.6094
336,1.578,0.5977
337,1.594,0.0
338,1.617,0.578
339,1.633,0.5703
340,1.656,0.5625
341,1.672,0.5547
342,1.695,0.547
343,1.711,0.539
344,1.734,0.5273
345,1.75,0.5234
346,1.773,0.5156
347,1.789,0.508
348,1.8125,0.504
349,1.828,0.0
350,1.852,0.4883
351,1.867,0.4824
352,1.891,0.953
353,1.906,0.9453
354,1.93,0.0
355,1.945,0.0
356,1.969,0.4512
357,1.984,0.4492
358,2.0,0.4453
359,2.031,0.0
360,2.047,0.0
361,2.062,0.0
362,2.078,0.0
363,2.11,-0.414
364,2.125,0.412
365,2.14,0.4082
366,2.156,0.4062
367,2.188,0.0
368,2.203,0.0
369,2.219,0.0
370,2.234,0.0
371,2.266,0.0
372,2.281,0.0
373,2.297,-0.746
374,2.312,-0.742
375,2.344,-0.7305
376,2.36,-0.7227
377,2.375,-0.7188
378,2.39,0.0
379,2.422,0.0
380,2.438,0.0
381,2.453,-0.6914
382,2.469,-0.6836
383,2.5,-0.676
384,2.516,-0.672
385,2.531,-0.664
386,2.547,0.0
387,2.578,0.0
388,2.594,0.0
389,2.61,-0.6406
390,2.625,-0.6367
391,2.656,-0.629
392,2.672,-0.625
393,2.688,-0.621
394,2.703,0.0
395,2.734,0.0
396,2.75,0.0
