,x,y
273,0.3418,-4.215
274,0.3613,-5.098
275,0.3809,-5.504
276,0.4004,-5.5
277,0.42,-5.586
278,0.4395,-5.754
279,0.459,-6.25
280,0.4785,-5.453
281,0.498,-6.695
282,0.5195,-6.445
283,0.539,-6.523
284,0.5586,-6.53
285,0.578,-6.66
286,0.5977,-7.28
287,0.617,-6.945
288,0.6367,-7.617
289,0.6562,-7.344
290,0.676,-7.574
291,0.6953,-8.21
292,0.715,-7.63
293,0.7344,-7.92
294,0.754,-8.19
295,0.7734,-8.12
296,0.793,-8.414
297,0.8125,-8.414
298,0.832,-8.336
299,0.8516,-8.35
300,0.871,-8.43
301,0.8906,-8.43
302,0.91,-8.5
303,0.9297,-8.57
304,0.949,-8.7
305,0.9688,-8.766
306,0.9883,-8.88
307,1.008,-9.0
308,1.031,-9.055
309,1.047,-8.76
310,1.07,-9.31
311,1.086,-8.6
312,1.109,-8.72
313,1.125,-8.914
314,1.148,-9.07
315,1.164,-9.305
316,1.1875,-8.58
317,1.203,-9.234
318,1.227,-8.96
319,1.242,-8.81
320,1.266,-9.4
321,1.281,-8.86
322,1.305,-8.664
323,1.32,-8.91
324,1.344,-8.71
325,1.359,-8.3
326,1.383,-8.83
327,1.398,-8.71
328,1.422,-8.61
329,1.4375,-8.5
330,1.461,-7.746
331,1.477,-8.37
332,1.5,-8.28
333,1.516,-8.18
334,1.539,-8.164
335,1.555,-7.457
336,1.578,-8.06
337,1.594,-7.965
338,1.617,-7.96
339,1.633,-7.934
340,1.656,-7.305
341,1.672,-7.29
342,1.695,-7.293
343,1.711,-7.273
344,1.734,-6.758
345,1.75,-6.746
346,1.773,-6.703
347,1.789,-7.26
348,1.8125,-6.77
349,1.828,-7.25
350,1.852,-6.285
351,1.867,-6.28
352,1.891,-6.305
353,1.906,-6.297
354,1.93,-5.39
355,1.945,-5.906
356,1.969,-5.484
357,1.984,-5.49
358,2.0,-5.543
359,2.031,-5.168
360,2.047,-4.742
361,2.062,-4.805
362,2.078,-5.24
363,2.11,-4.05
364,2.125,-4.113
365,2.14,-4.54
366,2.156,-4.19
367,2.188,-3.873
368,2.203,-4.332
369,2.219,-3.61
370,2.234,-3.195
371,2.266,-3.33
372,2.281,-3.396
373,2.297,-2.713
374,2.312,-2.693
375,2.344,-2.102
376,2.36,-2.174
377,2.375,-2.246
378,2.39,-2.23
379,2.422,-1.668
380,2.438,-1.742
381,2.453,-1.815
382,2.469,-1.116
383,2.5,-0.592
384,2.516,-0.671
385,2.531,-0.667
386,2.547,-0.0827
387,2.578,-0.2445
388,2.594,0.3237
389,2.61,0.9644
390,2.625,0.878
391,2.656,0.708
392,2.672,1.25
393,2.688,1.242
394,2.703,1.156
395,2.734,1.598
396,2.75,1.587
397,2.766,1.502
398,2.781,2.61
399,2.812,2.504
400,2.828,2.414
401,2.844,2.906
402,2.86,3.395
403,2.89,3.281
404,2.906,3.756
405,2.922,4.227
406,2.938,4.203
407,2.969,4.566
408,2.984,5.09
409,3.0,4.99
410,3.031,4.793
411,3.047,4.766
412,3.062,4.67
413,3.078,4.58
414,3.11,4.46
415,3.125,4.37
416,3.14,4.348
417,3.156,4.258
418,3.188,4.15
419,3.203,4.062
420,3.219,3.973
421,3.234,3.955
422,3.266,3.787
423,3.281,3.77
424,3.297,3.688
425,3.312,3.668
426,3.344,3.506
427,3.36,3.492
428,3.375,3.412
429,3.39,3.395
430,3.422,3.24
431,3.438,3.227
432,3.453,3.148
433,3.469,3.137
434,3.5,3.047
435,3.516,2.975
436,3.531,2.902
437,3.547,2.89
438,3.578,2.807
439,3.594,2.736
440,3.61,2.725
441,3.625,2.654
442,3.656,2.576
443,3.672,2.562
444,3.688,2.498
445,3.703,2.486
446,3.734,2.41
447,3.75,2.346
448,3.766,2.336
449,3.781,2.271
450,3.812,2.2
451,3.828,2.19
452,3.844,2.127
453,3.86,2.12
454,3.89,2.049
455,3.906,1.988
456,3.922,1.98
457,3.938,1.973
458,3.969,1.906
459,3.984,1.848
460,4.0,1.84
461,4.03,1.774
462,4.03,1.774
463,4.062,1.712
464,4.094,1.649
465,4.094,1.649
466,4.125,1.636
467,4.125,1.636
468,4.156,1.526
469,4.188,1.516
470,4.188,1.516
471,4.22,1.504
472,4.25,1.397
473,4.25,1.397
474,4.28,1.388
475,4.28,1.388
476,4.312,1.377
477,4.344,1.274
478,4.344,1.274
479,4.375,1.266
480,4.406,1.257
481,4.406,1.257
482,4.438,1.157
483,4.438,1.157
484,4.47,1.149
485,4.5,1.142
486,4.5,1.142
487,4.53,1.045
488,4.562,1.038
489,4.562,1.038
490,4.594,1.03
491,4.594,1.03
492,4.625,0.9375
493,4.656,0.9316
494,4.656,0.9316
495,4.688,0.9253
496,4.72,0.9194
497,4.72,0.9194
498,4.75,0.829
499,4.75,0.829
500,4.78,0.824
501,4.812,0.819
502,4.812,0.819
503,4.844,0.8135
504,4.875,0.7266
505,4.875,0.7266
506,4.906,0.7217
507,4.906,0.7217
508,4.938,0.7173
509,4.97,0.7124
510,4.97,0.7124
511,5.0,0.708
