model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-1
meta-llama/Llama-2-13b-hf,5.445225203613082,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,0
meta-llama/Llama-2-13b-hf,5.438853912405475,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,1
meta-llama/Llama-2-13b-hf,5.435893066249811,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,2
meta-llama/Llama-2-13b-hf,5.435707738849248,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,3
meta-llama/Llama-2-13b-hf,5.4357091644205235,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,4
meta-llama/Llama-2-13b-hf,5.4357091644205235,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,5
meta-llama/Llama-2-13b-hf,5.4357091644205235,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,6
meta-llama/Llama-2-13b-hf,5.4357091644205235,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,7
meta-llama/Llama-2-13b-hf,5.470539295032364,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,7
meta-llama/Llama-2-13b-hf,5.435687683692999,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-6
meta-llama/Llama-2-13b-hf,5.435717491060206,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-5
meta-llama/Llama-2-13b-hf,5.435736865936543,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-4
meta-llama/Llama-2-13b-hf,5.435747492988344,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-3
meta-llama/Llama-2-13b-hf,5.435665846660325,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2
meta-llama/Llama-2-13b-hf,5.435816958131376,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-1
meta-llama/Llama-2-13b-hf,5.43626315675926,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,0
meta-llama/Llama-2-13b-hf,656.4550481570171,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,1
