model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-1
meta-llama/Llama-2-7b-hf,5.995578118494624,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,0
meta-llama/Llama-2-7b-hf,5.98764445276697,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,1
meta-llama/Llama-2-7b-hf,5.984993836021648,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,2
meta-llama/Llama-2-7b-hf,5.984936830290766,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,3
meta-llama/Llama-2-7b-hf,5.984929410310663,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,4
meta-llama/Llama-2-7b-hf,5.984925771669936,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,5
meta-llama/Llama-2-7b-hf,5.984925771669936,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,6
meta-llama/Llama-2-7b-hf,5.984925771669936,vlp,VLPSoftmax,torch,max,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,7
meta-llama/Llama-2-7b-hf,5.9856618923277,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-7
meta-llama/Llama-2-7b-hf,5.985113485610576,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-6
meta-llama/Llama-2-7b-hf,5.984892096511711,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-5
meta-llama/Llama-2-7b-hf,5.984871477705391,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4
meta-llama/Llama-2-7b-hf,5.984951313547662,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-3
meta-llama/Llama-2-7b-hf,5.98492334591068,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-2
meta-llama/Llama-2-7b-hf,5.985044849119767,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-1
meta-llama/Llama-2-7b-hf,5.9861843025174295,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,0
meta-llama/Llama-2-7b-hf,62.32775342576168,vlp,VLPSoftmax,torch,min,25,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,1
