model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,-1
meta-llama/Llama-2-13b-hf,5.469023020935004,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,0
meta-llama/Llama-2-13b-hf,5.443586256428292,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,1
meta-llama/Llama-2-13b-hf,5.43798961740437,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2
meta-llama/Llama-2-13b-hf,5.4381460769355385,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,3
meta-llama/Llama-2-13b-hf,5.438181181277106,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,4
meta-llama/Llama-2-13b-hf,5.438169966015001,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,5
meta-llama/Llama-2-13b-hf,5.438169966015001,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,6
meta-llama/Llama-2-13b-hf,5.438169966015001,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,7
meta-llama/Llama-2-13b-hf,5.561357345106066,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,7
meta-llama/Llama-2-13b-hf,5.438218068631797,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,-6
meta-llama/Llama-2-13b-hf,5.438262119851547,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,-5
meta-llama/Llama-2-13b-hf,5.438207274678738,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,-4
meta-llama/Llama-2-13b-hf,5.438281471383184,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,-3
meta-llama/Llama-2-13b-hf,5.438261147414589,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,-2
meta-llama/Llama-2-13b-hf,5.438409089489597,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,-1
meta-llama/Llama-2-13b-hf,5.4394479740291946,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,0
meta-llama/Llama-2-13b-hf,11.723480853193783,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,1
