model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp
meta-llama/Llama-2-70b-hf,4.863420572774565,vlp,VLPSoftmax,torch,max,9,8,16,32,16,-4,2,2,2,-4,3,2,3,2,1
meta-llama/Llama-2-70b-hf,4.8613432579529245,vlp,VLPSoftmax,torch,max,9,8,16,32,16,-4,2,2,2,-4,3,2,3,2,2
meta-llama/Llama-2-70b-hf,4.858227103232553,vlp,VLPSoftmax,torch,max,9,8,16,32,16,-4,2,2,2,-4,3,2,3,2,3
meta-llama/Llama-2-70b-hf,4.860053849471362,vlp,VLPSoftmax,torch,max,9,8,16,32,16,-4,2,2,2,-4,3,2,3,2,4
meta-llama/Llama-2-70b-hf,4.860053849471362,vlp,VLPSoftmax,torch,max,9,8,16,32,16,-4,2,2,2,-4,3,2,3,2,5
meta-llama/Llama-2-70b-hf,4.858404718913657,vlp,VLPSoftmax,torch,min,9,8,16,32,16,-4,2,2,2,-4,3,2,3,2,-5
meta-llama/Llama-2-70b-hf,4.859512166035411,vlp,VLPSoftmax,torch,min,9,8,16,32,16,-4,2,2,2,-4,3,2,3,2,-4
meta-llama/Llama-2-70b-hf,4.860175407261419,vlp,VLPSoftmax,torch,min,9,8,16,32,16,-4,2,2,2,-4,3,2,3,2,-3
meta-llama/Llama-2-70b-hf,4.856858429941414,vlp,VLPSoftmax,torch,min,9,8,16,32,16,-4,2,2,2,-4,3,2,3,2,-2
meta-llama/Llama-2-70b-hf,4.8601589326742785,vlp,VLPSoftmax,torch,min,9,8,16,32,16,-4,2,2,2,-4,3,2,3,2,-1
