model,value,function_name,attn_fn,ffn_fn,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_lut_build,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,10,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,-1
meta-llama/Llama-2-7b-hf,6.028631536337271,vlp,VLPSoftmax,torch,10,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,0
meta-llama/Llama-2-7b-hf,5.988413460400426,vlp,VLPSoftmax,torch,10,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,1
meta-llama/Llama-2-7b-hf,5.986680780731314,vlp,VLPSoftmax,torch,10,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,2
meta-llama/Llama-2-7b-hf,5.989982119513963,vlp,VLPSoftmax,torch,10,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,3
meta-llama/Llama-2-7b-hf,5.9904759848143945,vlp,VLPSoftmax,torch,10,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,4
meta-llama/Llama-2-7b-hf,5.992311698240393,vlp,VLPSoftmax,torch,10,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,5
meta-llama/Llama-2-7b-hf,5.997803982035848,vlp,VLPSoftmax,torch,10,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,6
meta-llama/Llama-2-7b-hf,6.008997706398717,vlp,VLPSoftmax,torch,10,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,7
