model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp,attn_layer_27_max_min_exp,attn_layer_28_max_min_exp,attn_layer_29_max_min_exp,attn_layer_30_max_min_exp,attn_layer_31_max_min_exp,attn_layer_32_max_min_exp,attn_layer_33_max_min_exp
meta-llama/Llama-2-13b-hf,5.471747826918046,vlp,VLPSoftmax,torch,max,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,1
meta-llama/Llama-2-13b-hf,5.469975592020147,vlp,VLPSoftmax,torch,max,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,2
meta-llama/Llama-2-13b-hf,5.4699455584378365,vlp,VLPSoftmax,torch,max,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,3
meta-llama/Llama-2-13b-hf,5.469942067955569,vlp,VLPSoftmax,torch,max,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,4
meta-llama/Llama-2-13b-hf,5.469942067955569,vlp,VLPSoftmax,torch,max,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,5
meta-llama/Llama-2-13b-hf,5.469942067955569,vlp,VLPSoftmax,torch,max,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,6
meta-llama/Llama-2-13b-hf,5.469942067955569,vlp,VLPSoftmax,torch,max,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,7
meta-llama/Llama-2-13b-hf,5.5068239948346145,vlp,VLPSoftmax,torch,min,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,7
meta-llama/Llama-2-13b-hf,5.46998629368128,vlp,VLPSoftmax,torch,min,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,-6
meta-llama/Llama-2-13b-hf,5.4699458652935276,vlp,VLPSoftmax,torch,min,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,-5
meta-llama/Llama-2-13b-hf,5.469951695554916,vlp,VLPSoftmax,torch,min,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,-4
meta-llama/Llama-2-13b-hf,5.469925766282165,vlp,VLPSoftmax,torch,min,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,-3
meta-llama/Llama-2-13b-hf,5.469917749712359,vlp,VLPSoftmax,torch,min,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,-2
meta-llama/Llama-2-13b-hf,5.470038114565926,vlp,VLPSoftmax,torch,min,33,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,-1
