model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,-1
meta-llama/Llama-2-7b-hf,6.018213453521829,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,0
meta-llama/Llama-2-7b-hf,5.992949851443654,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,1
meta-llama/Llama-2-7b-hf,5.986382546318445,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2
meta-llama/Llama-2-7b-hf,5.98688774801796,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,3
meta-llama/Llama-2-7b-hf,5.986854846877889,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,4
meta-llama/Llama-2-7b-hf,5.986820661286141,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,5
meta-llama/Llama-2-7b-hf,5.986820661286141,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,6
meta-llama/Llama-2-7b-hf,5.986820661286141,vlp,VLPSoftmax,torch,max,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,7
meta-llama/Llama-2-7b-hf,5.988396256049349,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,-7
meta-llama/Llama-2-7b-hf,5.9872666594281005,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,-6
meta-llama/Llama-2-7b-hf,5.986812739391904,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,-5
meta-llama/Llama-2-7b-hf,5.986850636115963,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,-4
meta-llama/Llama-2-7b-hf,5.986928000417894,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,-3
meta-llama/Llama-2-7b-hf,5.987215698765714,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,-2
meta-llama/Llama-2-7b-hf,5.988302168397838,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,-1
meta-llama/Llama-2-7b-hf,5.992203333960505,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,0
meta-llama/Llama-2-7b-hf,11.576893487928203,vlp,VLPSoftmax,torch,min,16,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,1
